Data table for: E:\YR 4 LVAY DATA\GT3X+\Hip\1041_V2L3XP_41sec.agd
Date, Time, Axis1,Axis2,Axis3,Inclinometer,Vector Magnitude
2/24/2011,16:54:48,0,0,0,0,0
2/24/2011,16:54:49,0,0,0,0,0
2/24/2011,16:54:50,0,0,0,0,0
2/24/2011,16:54:51,0,0,0,0,0
2/24/2011,16:54:52,0,0,0,0,0
2/24/2011,16:54:53,0,0,0,0,0
2/24/2011,16:54:54,0,0,0,0,0
2/24/2011,16:54:55,0,0,0,0,0
2/24/2011,16:54:56,0,0,0,0,0
2/24/2011,16:54:57,0,0,0,0,0
2/24/2011,16:54:58,0,0,0,0,0
2/24/2011,16:54:59,0,0,0,0,0
2/24/2011,16:55:00,0,0,0,0,0
2/24/2011,16:55:01,0,0,0,0,0
2/24/2011,16:55:02,0,0,0,0,0
2/24/2011,16:55:03,0,0,0,0,0
2/24/2011,16:55:04,0,0,0,0,0
2/24/2011,16:55:05,0,0,0,0,0
2/24/2011,16:55:06,0,0,0,0,0
2/24/2011,16:55:07,0,0,0,0,0
2/24/2011,16:55:08,0,0,0,0,0
2/24/2011,16:55:09,0,0,0,0,0
2/24/2011,16:55:10,0,0,0,0,0
2/24/2011,16:55:11,0,0,0,0,0
2/24/2011,16:55:12,0,0,0,0,0
2/24/2011,16:55:13,0,0,0,0,0
2/24/2011,16:55:14,0,0,0,0,0
2/24/2011,16:55:15,0,0,0,0,0
2/24/2011,16:55:16,0,0,0,0,0
2/24/2011,16:55:17,0,0,0,0,0
2/24/2011,16:55:18,0,0,0,0,0
2/24/2011,16:55:19,0,0,0,0,0
2/24/2011,16:55:20,0,0,0,0,0
2/24/2011,16:55:21,0,0,0,0,0
2/24/2011,16:55:22,0,0,0,0,0
2/24/2011,16:55:23,0,0,0,0,0
2/24/2011,16:55:24,0,0,0,0,0
2/24/2011,16:55:25,0,0,0,0,0
2/24/2011,16:55:26,0,0,0,0,0
2/24/2011,16:55:27,0,0,0,0,0
2/24/2011,16:55:28,0,0,0,0,0
2/24/2011,16:55:29,0,0,0,0,0
2/24/2011,16:55:30,0,0,0,0,0
2/24/2011,16:55:31,0,0,0,0,0
2/24/2011,16:55:32,0,0,0,0,0
2/24/2011,16:55:33,0,0,0,0,0
2/24/2011,16:55:34,0,0,0,0,0
2/24/2011,16:55:35,0,0,0,0,0
2/24/2011,16:55:36,0,0,0,0,0
2/24/2011,16:55:37,0,0,0,0,0
2/24/2011,16:55:38,0,0,0,0,0
2/24/2011,16:55:39,0,0,0,0,0
2/24/2011,16:55:40,0,0,0,0,0
2/24/2011,16:55:41,0,0,0,0,0
2/24/2011,16:55:42,0,0,0,0,0
2/24/2011,16:55:43,0,0,0,0,0
2/24/2011,16:55:44,0,0,0,0,0
2/24/2011,16:55:45,0,0,0,0,0
2/24/2011,16:55:46,0,0,0,0,0
2/24/2011,16:55:47,0,0,0,0,0
2/24/2011,16:55:48,0,0,0,0,0
2/24/2011,16:55:49,0,0,0,0,0
2/24/2011,16:55:50,0,0,0,0,0
2/24/2011,16:55:51,0,0,0,0,0
2/24/2011,16:55:52,0,0,0,0,0
2/24/2011,16:55:53,0,0,0,0,0
2/24/2011,16:55:54,0,0,0,0,0
2/24/2011,16:55:55,0,0,0,0,0
2/24/2011,16:55:56,0,0,0,0,0
2/24/2011,16:55:57,0,0,0,0,0
2/24/2011,16:55:58,0,0,0,0,0
2/24/2011,16:55:59,0,0,0,0,0
2/24/2011,16:56:00,0,0,0,0,0
2/24/2011,16:56:01,0,0,0,0,0
2/24/2011,16:56:02,0,0,0,0,0
2/24/2011,16:56:03,0,0,0,0,0
2/24/2011,16:56:04,0,0,0,0,0
2/24/2011,16:56:05,0,0,0,0,0
2/24/2011,16:56:06,0,0,0,0,0
2/24/2011,16:56:07,0,0,0,0,0
2/24/2011,16:56:08,0,0,0,0,0
2/24/2011,16:56:09,0,0,0,0,0
2/24/2011,16:56:10,0,0,0,0,0
2/24/2011,16:56:11,0,0,0,0,0
2/24/2011,16:56:12,0,0,0,0,0
2/24/2011,16:56:13,0,0,0,0,0
2/24/2011,16:56:14,0,0,0,0,0
2/24/2011,16:56:15,0,0,0,0,0
2/24/2011,16:56:16,0,0,0,0,0
2/24/2011,16:56:17,0,0,0,0,0
2/24/2011,16:56:18,0,0,0,0,0
2/24/2011,16:56:19,0,0,0,0,0
2/24/2011,16:56:20,0,0,0,0,0
2/24/2011,16:56:21,0,0,0,0,0
2/24/2011,16:56:22,0,0,0,0,0
2/24/2011,16:56:23,0,0,0,0,0
2/24/2011,16:56:24,0,0,0,0,0
2/24/2011,16:56:25,0,0,0,0,0
2/24/2011,16:56:26,0,0,0,0,0
2/24/2011,16:56:27,0,0,0,0,0
2/24/2011,16:56:28,0,0,0,0,0
2/24/2011,16:56:29,0,0,0,0,0
2/24/2011,16:56:30,0,0,0,0,0
2/24/2011,16:56:31,0,0,0,0,0
2/24/2011,16:56:32,0,0,0,0,0
2/24/2011,16:56:33,0,0,0,0,0
2/24/2011,16:56:34,0,0,0,0,0
2/24/2011,16:56:35,0,0,0,0,0
2/24/2011,16:56:36,0,0,0,0,0
2/24/2011,16:56:37,0,0,0,0,0
2/24/2011,16:56:38,0,0,0,0,0
2/24/2011,16:56:39,0,0,0,0,0
2/24/2011,16:56:40,0,0,0,0,0
2/24/2011,16:56:41,0,0,0,0,0
2/24/2011,16:56:42,0,0,0,0,0
2/24/2011,16:56:43,0,0,0,0,0
2/24/2011,16:56:44,0,0,0,0,0
2/24/2011,16:56:45,0,0,0,0,0
2/24/2011,16:56:46,0,0,0,0,0
2/24/2011,16:56:47,0,0,0,0,0
2/24/2011,16:56:48,0,0,0,0,0
2/24/2011,16:56:49,0,10,0,0,10
2/24/2011,16:56:50,0,0,0,0,0
2/24/2011,16:56:51,0,0,0,0,0
2/24/2011,16:56:52,0,0,0,0,0
2/24/2011,16:56:53,0,0,0,0,0
2/24/2011,16:56:54,0,0,0,0,0
2/24/2011,16:56:55,0,0,0,0,0
2/24/2011,16:56:56,0,0,0,0,0
2/24/2011,16:56:57,0,0,0,0,0
2/24/2011,16:56:58,0,0,0,0,0
2/24/2011,16:56:59,0,0,0,0,0
2/24/2011,16:57:00,0,0,0,0,0
2/24/2011,16:57:01,0,0,0,0,0
2/24/2011,16:57:02,0,0,0,0,0
2/24/2011,16:57:03,0,0,0,0,0
2/24/2011,16:57:04,0,0,0,0,0
2/24/2011,16:57:05,0,0,0,0,0
2/24/2011,16:57:06,0,0,0,0,0
2/24/2011,16:57:07,0,0,0,0,0
2/24/2011,16:57:08,0,0,0,0,0
2/24/2011,16:57:09,0,0,0,0,0
2/24/2011,16:57:10,0,0,0,0,0
2/24/2011,16:57:11,0,0,0,0,0
2/24/2011,16:57:12,0,0,0,0,0
2/24/2011,16:57:13,0,0,0,0,0
2/24/2011,16:57:14,0,0,0,0,0
2/24/2011,16:57:15,0,0,0,0,0
2/24/2011,16:57:16,0,0,0,0,0
2/24/2011,16:57:17,0,0,0,0,0
2/24/2011,16:57:18,0,0,0,0,0
2/24/2011,16:57:19,0,0,0,0,0
2/24/2011,16:57:20,0,0,0,0,0
2/24/2011,16:57:21,0,0,0,0,0
2/24/2011,16:57:22,0,0,0,0,0
2/24/2011,16:57:23,0,0,0,0,0
2/24/2011,16:57:24,0,0,0,0,0
2/24/2011,16:57:25,0,0,0,0,0
2/24/2011,16:57:26,0,0,0,0,0
2/24/2011,16:57:27,0,0,0,0,0
2/24/2011,16:57:28,0,0,0,0,0
2/24/2011,16:57:29,0,0,0,0,0
2/24/2011,16:57:30,0,0,0,0,0
2/24/2011,16:57:31,0,0,0,0,0
2/24/2011,16:57:32,0,0,0,0,0
2/24/2011,16:57:33,0,0,0,0,0
2/24/2011,16:57:34,0,0,0,0,0
2/24/2011,16:57:35,0,0,0,0,0
2/24/2011,16:57:36,0,0,0,0,0
2/24/2011,16:57:37,0,0,0,0,0
2/24/2011,16:57:38,0,0,0,0,0
2/24/2011,16:57:39,0,0,0,0,0
2/24/2011,16:57:40,0,0,0,0,0
2/24/2011,16:57:41,0,0,0,0,0
2/24/2011,16:57:42,0,0,0,0,0
2/24/2011,16:57:43,0,0,0,0,0
2/24/2011,16:57:44,0,0,0,0,0
2/24/2011,16:57:45,0,0,0,0,0
2/24/2011,16:57:46,0,0,0,0,0
2/24/2011,16:57:47,0,0,0,0,0
2/24/2011,16:57:48,105,52,83,1,143.59
2/24/2011,16:57:49,128,41,48,1,142.72
2/24/2011,16:57:50,247,40,201,1,320.95
2/24/2011,16:57:51,164,83,125,1,222.28
2/24/2011,16:57:52,77,46,24,1,92.85
2/24/2011,16:57:53,108,68,174,1,215.79
2/24/2011,16:57:54,0,22,33,0,39.66
2/24/2011,16:57:55,0,1,22,0,22.02
2/24/2011,16:57:56,0,0,0,0,0
2/24/2011,16:57:57,0,0,0,0,0
2/24/2011,16:57:58,0,0,0,0,0
2/24/2011,16:57:59,0,0,0,0,0
2/24/2011,16:58:00,0,0,0,0,0
2/24/2011,16:58:01,0,0,0,0,0
